full_text,lower_case,remove_slang,remove_elongation,emoji_to_text,tweet_tokens,stem,remove_stopwords,remove_stop_words_nltk
Mari kita CO buku import sebelum PPN naik 12% #TolakKenaikanPPN12Persen #TolakKenaikanPPN #PajakMencekik,mari kita co buku import sebelum ppn naik 12 #tolakkenaikanppn12persen #tolakkenaikanppn #pajakmencekik,mari kita cowok buku import sebelum ppn naik 12 #tolakkenaikanppn12persen #tolakkenaikanppn #pajakmencekik,mari kita cowok buku import sebelum ppn naik 12 #tolakkenaikanppn12persen #tolakkenaikanppn #pajakmencekik,mari kita cowok buku import sebelum ppn naik 12 #tolakkenaikanppn12persen #tolakkenaikanppn #pajakmencekik,"['mari', 'kita', 'cowok', 'buku', 'import', 'sebelum', 'ppn', 'naik', '12', '#tolakkenaikanppn12persen', '#tolakkenaikanppn', '#pajakmencekik']","['mari', 'kita', 'cowok', 'buku', 'import', 'belum', 'ppn', 'naik', '12', '#tolakkenaikanppn12persen', '#tolakkenaikanppn', '#pajakmencekik']","['mari', 'cowok', 'buku', 'import', 'ppn', '12', '#tolakkenaikanppn12persen', '#tolakkenaikanppn', '#pajakmencekik']","['mari', 'cowok', 'buku', 'import', 'ppn', '12', '#tolakkenaikanppn12persen', '#tolakkenaikanppn', '#pajakmencekik']"
Tarif PPN resmi naik jadi 12% mulai tahun depan! Menurut DJP kenaikan ini penting untuk memperkuat penerimaan negara di APBN biar pembangunan nasional termasuk pendidikan kesehatan dan bantuan buat yang kurang mampu tetap jalan. Berjalan dengan kenaikan PPN ini https://t.co/IRWYQ0tiQT,tarif ppn resmi naik jadi 12 mulai tahun depan menurut djp kenaikan ini penting untuk memperkuat penerimaan negara di apbn biar pembangunan nasional termasuk pendidikan kesehatan dan bantuan buat yang kurang mampu tetap jalan berjalan dengan kenaikan ppn ini ,tarif ppn resmi naik jadi 12 mulai tahun depan menurut djp kenaikan ini penting untuk memperkuat penerimaan negara di apbn biar pembangunan nasional termasuk pendidikan kesehatan dan bantuan buat yang kurang mampu tetap jalan berjalan dengan kenaikan ppn ini ,tarif ppn resmi naik jadi 12 mulai tahun depan menurut djp kenaikan ini penting untuk memperkuat penerimaan negara di apbn biar pembangunan nasional termasuk pendidikan kesehatan dan bantuan buat yang kurang mampu tetap jalan berjalan dengan kenaikan ppn ini ,tarif ppn resmi naik jadi 12 mulai tahun depan menurut djp kenaikan ini penting untuk memperkuat penerimaan negara di apbn biar pembangunan nasional termasuk pendidikan kesehatan dan bantuan buat yang kurang mampu tetap jalan berjalan dengan kenaikan ppn ini ,"['tarif', 'ppn', 'resmi', 'naik', 'jadi', '12', 'mulai', 'tahun', 'depan', 'menurut', 'djp', 'kenaikan', 'ini', 'penting', 'untuk', 'memperkuat', 'penerimaan', 'negara', 'di', 'apbn', 'biar', 'pembangunan', 'nasional', 'termasuk', 'pendidikan', 'kesehatan', 'dan', 'bantuan', 'buat', 'yang', 'kurang', 'mampu', 'tetap', 'jalan', 'berjalan', 'dengan', 'kenaikan', 'ppn', 'ini']","['tarif', 'ppn', 'resmi', 'naik', 'jadi', '12', 'mulai', 'tahun', 'depan', 'turut', 'djp', 'kenaikan', 'ini', 'penting', 'untuk', 'kuat', 'terima', 'negara', 'di', 'apbn', 'biar', 'bangun', 'nasional', 'masuk', 'pendidikan', 'sehat', 'dan', 'bantu', 'buat', 'yang', 'kurang', 'mampu', 'tetap', 'jalan', 'jalan', 'dengan', 'nai', 'ppn', 'ini']","['tarif', 'ppn', 'resmi', '12', 'djp', 'kenaikan', 'kuat', 'terima', 'negara', 'apbn', 'biar', 'bangun', 'nasional', 'masuk', 'pendidikan', 'sehat', 'bantu', 'jalan', 'jalan', 'nai', 'ppn']","['tarif', 'ppn', 'resmi', '12', 'djp', 'kenaikan', 'kuat', 'terima', 'negara', 'apbn', 'biar', 'bangun', 'nasional', 'masuk', 'pendidikan', 'sehat', 'bantu', 'jalan', 'jalan', 'nai', 'ppn']"
Ga seneng tahun baruan soalnya PPN naik 12%,ga seneng tahun baruan soalnya ppn naik 12,enggak senang tahun baruan soalnya ppn naik 12,enggak senang tahun baruan soalnya ppn naik 12,enggak senang tahun baruan soalnya ppn naik 12,"['enggak', 'senang', 'tahun', 'baruan', 'soalnya', 'ppn', 'naik', '12']","['tidak', 'senang', 'tahun', 'baru', 'soal', 'ppn', 'naik', '12']","['senang', 'ppn', '12']","['senang', 'ppn', '12']"
Dapet bocoran kalo usaha property bakal dapet angin segar di taun 2025. Tapi buat apa kalo ppn tetap naik jadi 12% ,dapet bocoran kalo usaha property bakal dapet angin segar di taun 2025 tapi buat apa kalo ppn tetap naik jadi 12 ,dapat bocoran kalo usaha property bakal dapat angin segar di tahun 2025 tapi buat apa kalo ppn tetap naik jadi 12 ,dapat bocoran kalo usaha property bakal dapat angin segar di tahun 2025 tapi buat apa kalo ppn tetap naik jadi 12 ,dapat bocoran kalo usaha property bakal dapat angin segar di tahun 2025 tapi buat apa kalo ppn tetap naik jadi 12 ,"['dapat', 'bocoran', 'kalo', 'usaha', 'property', 'bakal', 'dapat', 'angin', 'segar', 'di', 'tahun', '2025', 'tapi', 'buat', 'apa', 'kalo', 'ppn', 'tetap', 'naik', 'jadi', '12']","['dapat', 'bocor', 'kalau', 'usaha', 'property', 'bakal', 'dapat', 'angin', 'segar', 'di', 'tahun', '2025', 'tapi', 'buat', 'apa', 'kalau', 'ppn', 'tetap', 'naik', 'jadi', '12']","['bocor', 'usaha', 'property', 'angin', 'segar', '2025', 'ppn', '12']","['bocor', 'usaha', 'property', 'angin', 'segar', '2025', 'ppn', '12']"
https://t.co/M3AZU3BNOi Okay boss tapi apa pasti harga2 tidak akan naik ?! Kita lihatdan buktikan saja nanti akibat dari terkena PPN 12%., okay boss tapi apa pasti harga2 tidak akan naik  kita lihatdan buktikan saja nanti akibat dari terkena ppn 12, okay bos tapi apa pasti harga2 tidak akan naik  kita lihatdan buktikan saja nanti akibat dari terkena ppn 12, okay bos tapi apa pasti harga2 tidak akan naik  kita lihatdan buktikan saja nanti akibat dari terkena ppn 12, okay bos tapi apa pasti harga2 tidak akan naik  kita lihatdan buktikan saja nanti akibat dari terkena ppn 12,"['okay', 'bos', 'tapi', 'apa', 'pasti', 'harga', '2', 'tidak', 'akan', 'naik', 'kita', 'lihatdan', 'buktikan', 'saja', 'nanti', 'akibat', 'dari', 'terkena', 'ppn', '12']","['okay', 'bos', 'tapi', 'apa', 'pasti', 'harga', '2', 'tidak', 'akan', 'naik', 'kita', 'lihatdan', 'bukti', 'saja', 'nanti', 'akibat', 'dari', 'kena', 'ppn', '12']","['okay', 'bos', 'harga', '2', 'lihatdan', 'bukti', 'akibat', 'kena', 'ppn', '12']","['okay', 'bos', 'harga', '2', 'lihatdan', 'bukti', 'akibat', 'kena', 'ppn', '12']"
@okkotchoux Sblm ppn naik jd 12% yh ‍↕️,@okkotchoux sblm ppn naik jd 12 yh ‍↕️,@okkotchoux sebelum ppn naik jadi 12 ya ‍↕️,@okkotchoux sebelum ppn naik jadi 12 ya ‍↕️,@okkotchoux sebelum ppn naik jadi 12 ya ‍!tanda_panah_atas_bawah!,"['sebelum', 'ppn', 'naik', 'jadi', '12', 'ya', ' \u200d!', 'tanda_panah_atas_bawah', '!']","['belum', 'ppn', 'naik', 'jadi', '12', 'iya', ' \u200d!', 'tanda_panah_atas_bawah', '!']","['ppn', '12', 'iya', '\u200d!', 'tanda_panah_atas_bawah', '!']","['ppn', '12', '\u200d!', 'tanda_panah_atas_bawah', '!']"
Belum 2025 tapi PPN 12% sudah terasa dari harga segelas kopi Tomoro yang mulai naik.,belum 2025 tapi ppn 12 sudah terasa dari harga segelas kopi tomoro yang mulai naik,belum 2025 tapi ppn 12 sudah terasa dari harga segelas kopi tomoro yang mulai naik,belum 2025 tapi ppn 12 sudah terasa dari harga segelas kopi tomoro yang mulai naik,belum 2025 tapi ppn 12 sudah terasa dari harga segelas kopi tomoro yang mulai naik,"['belum', '2025', 'tapi', 'ppn', '12', 'sudah', 'terasa', 'dari', 'harga', 'segelas', 'kopi', 'tomoro', 'yang', 'mulai', 'naik']","['belum', '2025', 'tapi', 'ppn', '12', 'sudah', 'asa', 'dari', 'harga', 'gelas', 'kopi', 'tomoro', 'yang', 'mulai', 'naik']","['2025', 'ppn', '12', 'asa', 'harga', 'gelas', 'kopi', 'tomoro']","['2025', 'ppn', '12', 'asa', 'harga', 'gelas', 'kopi', 'tomoro']"
@dustheria GAMAU!!! TOLONG BANGET DUA HARI LAGI TAHUN BARU HIBURLAH KAMI DARI KENYATAAN PPN YG NAIK JADI 12%‍️,@dustheria gamau tolong banget dua hari lagi tahun baru hiburlah kami dari kenyataan ppn yg naik jadi 12‍️,@dustheria enggak mau tolong banget dua hari lagi tahun baru hiburlah kami dari kenyataan ppn yang naik jadi 12‍️,@dustheria enggak mau tolong banget dua hari lagi tahun baru hiburlah kami dari kenyataan ppn yang naik jadi 12‍️,@dustheria enggak mau tolong banget dua hari lagi tahun baru hiburlah kami dari kenyataan ppn yang naik jadi 12‍️,"['enggak', 'mau', 'tolong', 'banget', 'dua', 'hari', 'lagi', 'tahun', 'baru', 'hiburlah', 'kami', 'dari', 'kenyataan', 'ppn', 'yang', 'naik', 'jadi', '12\u200d️']","['tidak', 'mau', 'tolong', 'banget', 'dua', 'hari', 'lagi', 'tahun', 'baru', 'hibur', 'kami', 'dari', 'nyata', 'ppn', 'yang', 'naik', 'jadi', '12\u200d️']","['tolong', 'banget', 'hibur', 'nyata', 'ppn', '12\u200d️']","['tolong', 'banget', 'hibur', 'nyata', 'ppn', '12\u200d️']"
@prabowo Gara-gara PPN naik 12 ℅ Dagang jadi sulit sepiiii... Dihantam pula harga kebutuhan pokok yg pada naik... RAKYAT MAKIN SULIT... PEDULIKAH ANDA...?,@prabowo garagara ppn naik 12 ℅ dagang jadi sulit sepiiii dihantam pula harga kebutuhan pokok yg pada naik rakyat makin sulit pedulikah anda,@prabowo garagara ppn naik 12 ℅ dagang jadi sulit sepiiii dihantam pula harga kebutuhan pokok yang pada naik rakyat makin sulit pedulikah anda,@prabowo garagara ppn naik 12 ℅ dagang jadi sulit sepi dihantam pula harga kebutuhan pokok yang pada naik rakyat makin sulit pedulikah anda,@prabowo garagara ppn naik 12 ℅ dagang jadi sulit sepi dihantam pula harga kebutuhan pokok yang pada naik rakyat makin sulit pedulikah anda,"['garagara', 'ppn', 'naik', '12', '℅', 'dagang', 'jadi', 'sulit', 'sepi', 'dihantam', 'pula', 'harga', 'kebutuhan', 'pokok', 'yang', 'pada', 'naik', 'rakyat', 'makin', 'sulit', 'pedulikah', 'anda']","['garagara', 'ppn', 'naik', '12', '℅', 'dagang', 'jadi', 'sulit', 'sepi', 'hantam', 'pula', 'harga', 'butuh', 'pokok', 'yang', 'pada', 'naik', 'rakyat', 'makin', 'sulit', 'peduli', 'anda']","['garagara', 'ppn', '12', '℅', 'dagang', 'sulit', 'sepi', 'hantam', 'harga', 'butuh', 'pokok', 'rakyat', 'sulit', 'peduli']","['garagara', 'ppn', '12', '℅', 'dagang', 'sulit', 'sepi', 'hantam', 'harga', 'butuh', 'pokok', 'rakyat', 'sulit', 'peduli']"
Sebelum ganti tahun &amp; ppn naik jdi 12% lebih baik kita bayar iCloud nya hari ini ,sebelum ganti tahun amp ppn naik jdi 12 lebih baik kita bayar icloud nya hari ini ,sebelum ganti tahun amp ppn naik jadi 12 lebih baik kita bayar icloud nya hari ini ,sebelum ganti tahun amp ppn naik jadi 12 lebih baik kita bayar icloud nya hari ini ,sebelum ganti tahun amp ppn naik jadi 12 lebih baik kita bayar icloud nya hari ini ,"['sebelum', 'ganti', 'tahun', 'amp', 'ppn', 'naik', 'jadi', '12', 'lebih', 'baik', 'kita', 'bayar', 'icloud', 'nya', 'hari', 'ini']","['belum', 'ganti', 'tahun', 'amp', 'ppn', 'naik', 'jadi', '12', 'lebih', 'baik', 'kita', 'bayar', 'icloud', 'nya', 'hari', 'ini']","['ganti', 'amp', 'ppn', '12', 'bayar', 'icloud', 'nya']","['ganti', 'amp', 'ppn', '12', 'bayar', 'icloud']"
Percuma UMR klo ppn naik 12% tan,percuma umr klo ppn naik 12 tan,percuma umr kalo ppn naik 12 tan,percuma umr kalo ppn naik 12 tan,percuma umr kalo ppn naik 12 tan,"['percuma', 'umr', 'kalo', 'ppn', 'naik', '12', 'tan']","['percuma', 'umr', 'kalau', 'ppn', 'naik', '12', 'tan']","['umr', 'ppn', '12', 'tan']","['umr', 'ppn', '12', 'tan']"
Jangan lupa memikirkan PPN naik 12% ya kawan kawan https://t.co/hE08ox20k3,jangan lupa memikirkan ppn naik 12 ya kawan kawan ,jangan lupa memikirkan ppn naik 12 ya kawan kawan ,jangan lupa memikirkan ppn naik 12 ya kawan kawan ,jangan lupa memikirkan ppn naik 12 ya kawan kawan ,"['jangan', 'lupa', 'memikirkan', 'ppn', 'naik', '12', 'ya', 'kawan', 'kawan']","['jangan', 'lupa', 'pikir', 'ppn', 'naik', '12', 'iya', 'kawan', 'kawan']","['lupa', 'pikir', 'ppn', '12', 'iya', 'kawan', 'kawan']","['lupa', 'pikir', 'ppn', '12', 'kawan', 'kawan']"
@poxtions ppn naik 12% harus banyak sidejob,@poxtions ppn naik 12 harus banyak sidejob,@poxtions ppn naik 12 harus banyak sidejob,@poxtions ppn naik 12 harus banyak sidejob,@poxtions ppn naik 12 harus banyak sidejob,"['ppn', 'naik', '12', 'harus', 'banyak', 'sidejob']","['ppn', 'naik', '12', 'harus', 'banyak', 'sidejob']","['ppn', '12', 'sidejob']","['ppn', '12', 'sidejob']"
Makan Bergizi Gratis bikin IQ naik 15 poin? Ternyata PPN 12 Persen untuk Akomodir Program Makan Bergizi Gratis Besutan Presiden Prabowo https://t.co/QlKSpqd7ec,makan bergizi gratis bikin iq naik 15 poin ternyata ppn 12 persen untuk akomodir program makan bergizi gratis besutan presiden prabowo ,makan bergizi gratis bikin iq naik 15 poin ternyata ppn 12 persen untuk akomodir program makan bergizi gratis besutan presiden prabowo ,makan bergizi gratis bikin iq naik 15 poin ternyata ppn 12 persen untuk akomodir program makan bergizi gratis besutan presiden prabowo ,makan bergizi gratis bikin iq naik 15 poin ternyata ppn 12 persen untuk akomodir program makan bergizi gratis besutan presiden prabowo ,"['makan', 'bergizi', 'gratis', 'bikin', 'iq', 'naik', '15', 'poin', 'ternyata', 'ppn', '12', 'persen', 'untuk', 'akomodir', 'program', 'makan', 'bergizi', 'gratis', 'besutan', 'presiden', 'prabowo']","['makan', 'gizi', 'gratis', 'bikin', 'iq', 'naik', '15', 'poin', 'nyata', 'ppn', '12', 'persen', 'untuk', 'akomodir', 'program', 'makan', 'gizi', 'gratis', 'besut', 'presiden', 'prabowo']","['makan', 'gizi', 'gratis', 'bikin', 'iq', '15', 'poin', 'nyata', 'ppn', '12', 'persen', 'akomodir', 'program', 'makan', 'gizi', 'gratis', 'besut', 'presiden', 'prabowo']","['makan', 'gizi', 'gratis', 'bikin', 'iq', '15', 'poin', 'nyata', 'ppn', '12', 'persen', 'akomodir', 'program', 'makan', 'gizi', 'gratis', 'besut', 'presiden', 'prabowo']"
@jmzvxqhhh @Telkomsel Wkwkwkw PPN naik bos 12% wkwk,@jmzvxqhhh @telkomsel wkwkwkw ppn naik bos 12 wkwk,@jmzvxqhhh @telkomsel wkwkwkw ppn naik bos 12 wkwk,@jmzvxqh @telkomsel wkwkwkw ppn naik bos 12 wkwk,@jmzvxqh @telkomsel wkwkwkw ppn naik bos 12 wkwk,"['wkwkwkw', 'ppn', 'naik', 'bos', '12', 'wkwk']","['wkwkwkw', 'ppn', 'naik', 'bos', '12', 'wkwk']","['ppn', 'bos', '12']","['ppn', 'bos', '12']"
beli doll 10 cm wdyt? jujur mau banget tapi gue tau nih smt 4 nanti tugas nyetak bakalan ugal-ugalan bgt apalagi ppn naik jd 12% kan percetakan jd mahal y ,beli doll 10 cm wdyt jujur mau banget tapi gue tau nih smt 4 nanti tugas nyetak bakalan ugalugalan bgt apalagi ppn naik jd 12 kan percetakan jd mahal y ,beli doll 10 cuma wdyt jujur mau banget tapi gue tau nih smt 4 nanti tugas nyetak bakalan ugalugalan banget apalagi ppn naik jadi 12 kan percetakan jadi mahal ya ,beli dol 10 cuma wdyt jujur mau banget tapi gue tau nih smt 4 nanti tugas nyetak bakalan ugalugalan banget apalagi ppn naik jadi 12 kan percetakan jadi mahal ya ,beli dol 10 cuma wdyt jujur mau banget tapi gue tau nih smt 4 nanti tugas nyetak bakalan ugalugalan banget apalagi ppn naik jadi 12 kan percetakan jadi mahal ya ,"['beli', 'dol', '10', 'cuma', 'wdyt', 'jujur', 'mau', 'banget', 'tapi', 'gue', 'tau', 'nih', 'smt', '4', 'nanti', 'tugas', 'nyetak', 'bakalan', 'ugalugalan', 'banget', 'apalagi', 'ppn', 'naik', 'jadi', '12', 'kan', 'percetakan', 'jadi', 'mahal', 'ya']","['beli', 'dol', '10', 'cuma', 'wdyt', 'jujur', 'mau', 'banget', 'tapi', 'gue', 'tau', 'ini', 'smt', '4', 'nanti', 'tugas', 'nyetak', 'bakal', 'ugalugalan', 'banget', 'apalagi', 'ppn', 'naik', 'jadi', '12', 'kan', 'percetakan', 'jadi', 'mahal', 'iya']","['beli', 'dol', '10', 'wdyt', 'jujur', 'banget', 'gue', 'tau', 'smt', '4', 'tugas', 'nyetak', 'ugalugalan', 'banget', 'ppn', '12', 'percetakan', 'mahal', 'iya']","['beli', 'dol', '10', 'wdyt', 'jujur', 'banget', 'smt', '4', 'tugas', 'nyetak', 'ugalugalan', 'banget', 'ppn', '12', 'percetakan', 'mahal']"
Demi apapun udh ppn naik jadi 12% terus msib dihapus pula?,demi apapun udh ppn naik jadi 12 terus msib dihapus pula,demi apapun sudah ppn naik jadi 12 terus msib dihapus pula,demi apapun sudah ppn naik jadi 12 terus msib dihapus pula,demi apapun sudah ppn naik jadi 12 terus msib dihapus pula,"['demi', 'apapun', 'sudah', 'ppn', 'naik', 'jadi', '12', 'terus', 'msib', 'dihapus', 'pula']","['demi', 'apa', 'sudah', 'ppn', 'naik', 'jadi', '12', 'terus', 'msib', 'hapus', 'pula']","['ppn', '12', 'msib', 'hapus']","['ppn', '12', 'msib', 'hapus']"
@prabowo Halaaahh pak..pak... PPN 12% dulu dah dibereskan... batalin atau turunin lagi ke 10% kalau perlu.... rakyat sdh nolak naik kagak diperhatikan dan tdk didenger,@prabowo halaaahh pakpak ppn 12 dulu dah dibereskan batalin atau turunin lagi ke 10 kalau perlu rakyat sdh nolak naik kagak diperhatikan dan tdk didenger,@prabowo halaaahh pakpak ppn 12 dulu deh dibereskan batalin atau turunin lagi ke 10 kalau perlu rakyat sudah nolak naik kagak diperhatikan dan tidak didenger,@prabowo halaaah pakpak ppn 12 dulu deh dibereskan batalin atau turunin lagi ke 10 kalau perlu rakyat sudah nolak naik kagak diperhatikan dan tidak didenger,@prabowo halaaah pakpak ppn 12 dulu deh dibereskan batalin atau turunin lagi ke 10 kalau perlu rakyat sudah nolak naik kagak diperhatikan dan tidak didenger,"['halaaah', 'pakpak', 'ppn', '12', 'dulu', 'deh', 'dibereskan', 'batalin', 'atau', 'turunin', 'lagi', 'ke', '10', 'kalau', 'perlu', 'rakyat', 'sudah', 'nolak', 'naik', 'kagak', 'diperhatikan', 'dan', 'tidak', 'didenger']","['halaaah', 'pakpak', 'ppn', '12', 'dulu', 'deh', 'beres', 'batal', 'atau', 'turun', 'lagi', 'ke', '10', 'kalau', 'perlu', 'rakyat', 'sudah', 'tolak', 'naik', 'kagak', 'perhati', 'dan', 'tidak', 'dengar']","['halaaah', 'pakpak', 'ppn', '12', 'deh', 'beres', 'batal', 'turun', '10', 'rakyat', 'tolak', 'kagak', 'perhati', 'dengar']","['halaaah', 'pakpak', 'ppn', '12', 'beres', 'batal', 'turun', '10', 'rakyat', 'tolak', 'kagak', 'perhati', 'dengar']"
beneran ini abis ini PPN naik 12%...,beneran ini abis ini ppn naik 12,benaran ini habis ini ppn naik 12,benaran ini habis ini ppn naik 12,benaran ini habis ini ppn naik 12,"['benaran', 'ini', 'habis', 'ini', 'ppn', 'naik', '12']","['benar', 'ini', 'habis', 'ini', 'ppn', 'naik', '12']","['habis', 'ppn', '12']","['habis', 'ppn', '12']"
Tahun depan apa gua ga mudik dulu ya. Sebelum naik ppn 12% aja udah gede biaya gua balik. Ditambah naik 12% makin berat wkwk. Gatau deh mungkin ga pulang dulu lebaran ini kayanya,tahun depan apa gua ga mudik dulu ya sebelum naik ppn 12 aja udah gede biaya gua balik ditambah naik 12 makin berat wkwk gatau deh mungkin ga pulang dulu lebaran ini kayanya,tahun depan apa gua enggak mudik dulu ya sebelum naik ppn 12 saja sudah gede biaya gua balik ditambah naik 12 makin berat wkwk enggak tau deh mungkin enggak pulang dulu lebaran ini kayanya,tahun depan apa gua enggak mudik dulu ya sebelum naik ppn 12 saja sudah gede biaya gua balik ditambah naik 12 makin berat wkwk enggak tau deh mungkin enggak pulang dulu lebaran ini kayanya,tahun depan apa gua enggak mudik dulu ya sebelum naik ppn 12 saja sudah gede biaya gua balik ditambah naik 12 makin berat wkwk enggak tau deh mungkin enggak pulang dulu lebaran ini kayanya,"['tahun', 'depan', 'apa', 'gua', 'enggak', 'mudik', 'dulu', 'ya', 'sebelum', 'naik', 'ppn', '12', 'saja', 'sudah', 'gede', 'biaya', 'gua', 'balik', 'ditambah', 'naik', '12', 'makin', 'berat', 'wkwk', 'enggak', 'tau', 'deh', 'mungkin', 'enggak', 'pulang', 'dulu', 'lebaran', 'ini', 'kayanya']","['tahun', 'depan', 'apa', 'gue', 'tidak', 'mudik', 'dulu', 'iya', 'belum', 'naik', 'ppn', '12', 'saja', 'sudah', 'gede', 'biaya', 'gue', 'balik', 'tambah', 'naik', '12', 'makin', 'berat', 'wkwk', 'tidak', 'tau', 'deh', 'mungkin', 'tidak', 'pulang', 'dulu', 'lebaran', 'ini', 'kaya']","['gue', 'mudik', 'iya', 'ppn', '12', 'gede', 'biaya', 'gue', '12', 'berat', 'tau', 'deh', 'pulang', 'lebaran', 'kaya']","['mudik', 'ppn', '12', 'gede', 'biaya', '12', 'berat', 'pulang', 'lebaran', 'kaya']"
Ppn 12% baru tahun depan tapi semua harga udah pada naik. My love tempong badu harganya naik my love gepuk pak gembus maksimal reffil sambel 2x. ,ppn 12 baru tahun depan tapi semua harga udah pada naik my love tempong badu harganya naik my love gepuk pak gembus maksimal reffil sambel 2x ,ppn 12 baru tahun depan tapi semua harga sudah pada naik my love tempong badu harganya naik my love gepuk pak gembus maksimal reffil sambel 2x ,ppn 12 baru tahun depan tapi semua harga sudah pada naik my love tempong badu harganya naik my love gepuk pak gembus maksimal reffil sambel 2x ,ppn 12 baru tahun depan tapi semua harga sudah pada naik my love tempong badu harganya naik my love gepuk pak gembus maksimal reffil sambel 2x ,"['ppn', '12', 'baru', 'tahun', 'depan', 'tapi', 'semua', 'harga', 'sudah', 'pada', 'naik', 'my', 'love', 'tempong', 'badu', 'harganya', 'naik', 'my', 'love', 'gepuk', 'pak', 'gembus', 'maksimal', 'reffil', 'sambel', '2x']","['ppn', '12', 'baru', 'tahun', 'depan', 'tapi', 'semua', 'harga', 'sudah', 'pada', 'naik', 'my', 'love', 'tempong', 'badu', 'harga', 'naik', 'my', 'love', 'gepuk', 'pak', 'gembus', 'maksimal', 'reffil', 'sambal', '2x']","['ppn', '12', 'harga', 'my', 'love', 'tempong', 'badu', 'harga', 'my', 'love', 'gepuk', 'gembus', 'maksimal', 'reffil', 'sambal', '2x']","['ppn', '12', 'harga', 'my', 'love', 'tempong', 'badu', 'harga', 'my', 'love', 'gepuk', 'gembus', 'maksimal', 'reffil', 'sambal', '2x']"
@SawitHitam @tham878 @Dennysiregar7 OTAK 58% YG CUMA TERISI BANSOS YA KAYA GINI.. DI OTAK IQ 78 LU.. CUMA TAU 11+1=12 PADAHAL REALITANYA PPN NAIK 9%.. IQ 78 MNA PAHAM MATEMATIKA..,@sawithitam @tham878 @dennysiregar7 otak 58 yg cuma terisi bansos ya kaya gini di otak iq 78 lu cuma tau 11112 padahal realitanya ppn naik 9 iq 78 mna paham matematika,@sawithitam @tham878 @dennysiregar7 otak 58 yang cuma terisi bansos ya kayak begini di otak iq 78 lu cuma tau 11112 padahal realitanya ppn naik 9 iq 78 mana paham matematika,@sawithitam @tham878 @dennysiregar7 otak 58 yang cuma terisi bansos ya kayak begini di otak iq 78 lu cuma tau 11112 padahal realitanya ppn naik 9 iq 78 mana paham matematika,@sawithitam @tham878 @dennysiregar7 otak 58 yang cuma terisi bansos ya kayak begini di otak iq 78 lu cuma tau 11112 padahal realitanya ppn naik 9 iq 78 mana paham matematika,"['otak', '58', 'yang', 'cuma', 'terisi', 'bansos', 'ya', 'kayak', 'begini', 'di', 'otak', 'iq', '78', 'lu', 'cuma', 'tau', '1112', 'padahal', 'realitanya', 'ppn', 'naik', '9', 'iq', '78', 'mana', 'paham', 'matematika']","['otak', '58', 'yang', 'cuma', 'isi', 'bansos', 'iya', 'kayak', 'begini', 'di', 'otak', 'iq', '78', 'lu', 'cuma', 'tau', '1112', 'padahal', 'realitanya', 'ppn', 'naik', '9', 'iq', '78', 'mana', 'paham', 'matematika']","['otak', '58', 'isi', 'bansos', 'iya', 'kayak', 'otak', 'iq', '78', 'lu', 'tau', '1112', 'realitanya', 'ppn', '9', 'iq', '78', 'paham', 'matematika']","['otak', '58', 'isi', 'bansos', 'kayak', 'otak', 'iq', '78', '1112', 'realitanya', 'ppn', '9', 'iq', '78', 'paham', 'matematika']"
